Session or Event Title,Session or Event Abbreviation,Session or Event Type,Session or Event Topic,Session or Event Date,Session or Event Start Time,Session or Event End Time,Session or Event Location,Session or Event Details,Session or Event Hosts,Abstract or Placeholder Title,Abstract Final ID,Abstract or Placeholder Start Time,Abstract or Placeholder End Time,Abstract Presenter Name,Abstract Authors,Abstract Status,Institutions All,Abstract Body,Session Abstract Sort Order,"The Program Report was last updated December 16, 2015 at 01:17 AM EST. To view the most recent meeting schedule online, visit https://aas227.abstractcentral.com/planner.jsp"
"Star Associations, Star Clusters - Galactic & Extra-galactic Poster Session",240,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,The Clustering of Young Stellar Cluster Populations in Nearby Galaxies,240.18,5:30 PM,6:30 PM,K. Grasha*,K. Grasha*; D. Calzetti,Sessioned,University of Massachusetts - Amherst,"Abstract (2,250 Maximum Characters): We present measurements of clustering among star clusters for several galaxies drawn from the Legacy ExtraGalactic UV Survey (LEGUS), in order to establish whether the clustering strength depends on properties of the cluster population. We use the two point autocorrelation function to study clustering as a function of spatial scale, age, concentration index (CI), and mass. We separate the clusters into different classes, defined by their (a)symmetry and number of peaks, comparing the trends of the autocorrelation functions between all the cluster classes. For one galaxy, NGC 628, we find that younger star clusters are more strongly clustered over small spatial scales and that the clustering disappears rapidly for ages as young as 40 Myr. We present here a similar analysis for the other galaxies. We also measure the power-law slope and amplitude of the autocorrelation functions and discuss the results.\n",18,
"Star Associations, Star Clusters - Galactic & Extra-galactic Poster Session",240,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Quantifying the Components of the Field OB Star Population,240.19,5:30 PM,6:30 PM,X. Chen*,X. Chen*; M. S. Oey; J. B. Lamb; C. Kushner,Sessioned,University of Michigan; Nassau Community College,"Abstract (2,250 Maximum Characters): Massive stars have long been thought to form in clusters. However, recent observations suggest some massive stars form in extremely sparse environments. Could these massive stars form alone? Clarifying the nature of field OB stars is central to this question. Defining these as OB stars that are isolated from other OB stars, the field comprises three distinct populations: “tip-of-the-iceberg stars”, which are in small, but normal, clusters that only have one OB star; runaway stars; and any stars that form in situ in the field. The relative frequencies of each category are unknown. To study the population and obtain estimates of the frequencies, we examine 134 field OB stars from the Runaways and Isolated O-Type Star Spectroscopic Survey of the SMC (RIOTS4; Lamb et al. 2015) in the bar region of the Small Magellanic Cloud. These stars are at least 28 pc in projection away from other OB stars. We use OGLE-III (Udalski et al. 2008) <i>I</i>-band images to search for small, potential clusters around our target stars, using friends-of-friends and nearest-neighbor algorithms. We estimate the relative frequencies of tip-of-the-iceberg stars and isolated stars, some of which may have formed in situ.<br /> <br />Thanks to Radek Poleski for help with the OGLE-III database. This work was supported by the NSF grants AST-0907758 and AST-1514838.\n",19,
"Star Associations, Star Clusters - Galactic & Extra-galactic Poster Session",240,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Study of the Cygnus Star-Forming Field,240.20,5:30 PM,6:30 PM,C. Christopherson*,C. Christopherson*; N. Kaltcheva,Sessioned,University of Wisconsin Oshkosh,"Abstract (2,250 Maximum Characters): The star-forming complexes in Cygnus extend nearly 30 deg in Galactic longitude and 20 deg in latitude, and most probably include star-formation sites located between 600 and 4000 pc. We combine the catalog by Heiles (2000) with uvbyβ photometric data from the catalog of Paunzen (2015) to collate a sample of O and B-type stars with precise homogeneous distances, color excess and available polarimetry. This allows us to identify star-forming sites at different distances along the line of sight and to investigate their spatial correlation to the interstellar matter. Further, we use this sample to study the orientation of the polarization as revealed by the polarized light of the bright early-type stars and analyze the polarization-extinction correlation for this field. Since dust grains align in the presence of a magnetic field cause the observed polarization at optical wavelengths, the data contain information about the large-scale component of the Galactic magnetic field. In addition, wide-field astrophotography equipment was used to image the Cygnus field in Hydrogen-alpha, Hydrogen-beta and the [OIII] line at 500.7 nm. This allows us to map the overall distribution of ionized material and the interstellar dust and trace large-scale regions where the physical conditions change rapidly due to supernova shock fronts and strong stellar winds. Acknowledgments: This work was supported by NSF grant AST- 1516932 and the Wisconsin Space Grant Consortium, NASA Space Grant College and Fellowship Program, NASA Training Grant #NNX14AP22H.\n",20,
"Star Associations, Star Clusters - Galactic & Extra-galactic Poster Session",240,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Open-Cluster Population of Sh 2-109,240.21,5:30 PM,6:30 PM,H. LeMieux*,H. LeMieux*; N. Kaltcheva,Sessioned,University of Wisconsin Oshkosh,"Abstract (2,250 Maximum Characters): The prominent nebulosity Sh 2-109 that dominates the Cygnus star-forming field is probably a complex of several overlapping H II regions. Since in this direction the line of sight is along the local Orion spiral arm, the isolation of individual stellar and interstellar structures is difficult. This study is focused on the massive stellar content of Sh 2-109 with the purpose of providing new insights on its structure. We use the catalog of optically visible open clusters and candidates (Dias et al. 2014) to study the properties of the open-cluster population within the boundaries of the Sh 2-109 star-forming region. We also utilize photometric uvbyβ data for the massive stars in Sh 2-109. This data set includes more than 10 young open clusters. Since the intermediate-band uvbyβ photometry allows the derivation of stellar physical parameters with high precision, we provide homogeneous distance and age estimates to the OB-associations identified toward Sh 2-109. Based on all the data we map the structure of the field in order to further study its morphology and energetics. Acknowledgments. This work was supported by NSF grant AST- 1516932.\n",21,
"Star Associations, Star Clusters - Galactic & Extra-galactic Poster Session",240,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Extinction in young massive clusters,240.22,5:30 PM,6:30 PM,G. De Marchi*,G. De Marchi*; N. Panagia,Sessioned,ESA; STScI,"Abstract (2,250 Maximum Characters): Up to ages of ~100 Myr, massive clusters are still swamped in large amounts of gas and dust, causing considerable and uneven levels of extinction. At the same time, large grains (ices?) produced by type II supernovae profoundly alter the interstellar medium (ISM), thus resulting in extinction properties very different from those of the diffuse ISM. To obtain physically meaningful parameters of stars (luminosities, effective temperatures, masses, ages, etc.) we must understand and measure the local extinction law. We have developed a powerful method to unambiguously determine the extinction law everywhere across a cluster field, using multi-band photometry of red giant stars belonging to the red clump (RC) and are applying it to young massive clusters in the Local Group. In the Large Magellanic Cloud, with about 20 RC stars per arcmin<sup>2</sup>, for each field we can easily derive an accurate extinction curve over the entire wavelength range of the photometry. As an example, we present the extinction law of the Tarantula nebula (30 Dor) based on thousands of stars observed as part of the Hubble Tarantula Treasury Project. We discuss how the incautious adoption of the Milky Way extinction law in the analysis of massive star forming regions may lead to serious underestimates of the fluxes and of the star formation rates by factors of 2 or more.\n",22,
"Star Associations, Star Clusters - Galactic & Extra-galactic Poster Session",240,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,A Hectochelle Radial Velocity Survey of Cep OB3b: An ONC like cluster at late gas dispersal phase,240.23,5:30 PM,6:30 PM,N. Karnath*,N. Karnath*; T. Allen; J. Prchlik; R. A. Gutermuth; S. T. Megeath; J. Pipher; S. J. Wolk,Sessioned,Lowell Observatory; University of Toledo; Case Western University; University of Massachusetts; University of Rochester; Center for Astrophysics,"Abstract (2,250 Maximum Characters): Cep OB3b is a young (~3-5 Myr), late gas dispersal cluster of roughly 3000 members broken into two sub-clusters (Eastern and Western) at a distance of 700pc; it is a rare example of nearby cluster in the late stages of gas dispersal and appears to be a more evolved analog to the Orion Nebular Cluster. As part of an ongoing multi wavelength study, we focus on Hectochelle data from the MMT to measure the radial velocities of 499 stars. After removing binaries, outliers, and imposing a minimum R value to the cross correlation, we obtain radial velocities of 57 previously identified members, with an average error of 1.7 km/s. There is no observed variation in radial velocity across the cluster in right ascension or declination. The preferred mechanism for this type of kinematic evolution is that any initial kinematic structure from formation may have been erased and that minimal or no rotation is present in the cluster. However, the Eastern sub-cluster, containing the most massive star in the field, an O7 star, has a higher velocity dispersion than the Western sub-cluster, which contains several B stars. We will compare these results to CO maps of the residual gas in the cluster and discuss possible reasons for this difference. Finally, we will assess whether the cluster is bound or in a state of expansion.\n",23,
"Star Associations, Star Clusters - Galactic & Extra-galactic Poster Session",240,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,K2 observations of young star clusters,240.24,5:30 PM,6:30 PM,A. Cody*,A. Cody*,Sessioned,NASA Ames Research Center,"Abstract (2,250 Maximum Characters): In operation since 2014, the K2 mission is now acquiring high cadence, high precision, long time baseline on thousands of stars in the ecliptic plane. Unlike its predecessor the Kepler mission, K2 is observing a number of young to intermediate age star clusters. This provides the chance to not only look for relatively  young planets, but to also study starspot evolution, accretion, and inner circumstellar disk dynamics on several month timescales. I will provide an overview of our K2 cluster photometry pipeline and highlight the variable processes evident in the first few campaigns.\n",24,
"Star Associations, Star Clusters - Galactic & Extra-galactic Poster Session",240,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,An Initial Census of Eclipsing Binaries in the Pleiades and Hyades in Field 4 of the K2 Mission,240.25,5:30 PM,6:30 PM,J. R. Stauffer*,J. R. Stauffer*; K. Stassun; S. Aigrain; L. Hillenbrand; T. J. David; L. M. Rebull,Sessioned,Spitzer Science Center; Vanderbilt University; Oxford University; Caltech,"Abstract (2,250 Maximum Characters): We have identified four new eclipsing binary members of the Pleiades and Hyades in the K2 Field 4 data.<br />For one of those stars, where radial velocities are available, we report a complete SB1/EB orbital fit to the data.<br />For the other EB candidates, we describe the information we have derived from the K2 light curve and what is known about the stars from the published literature.\n",25,
"Star Associations, Star Clusters - Galactic & Extra-galactic Poster Session",240,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,An Updated look at the Initial-Final Mass Relation with Five Open Clusters,240.26,5:30 PM,6:30 PM,P. Canton*,P. Canton*; K. A. Williams,Sessioned,University of Oklahoma; Texas A&M,"Abstract (2,250 Maximum Characters): The Initial-Final Mass Relation (IFMR) maps a stars ZAMS mass to it's white dwarf mass. The IFMR tells us how much material a star ejects back into the ISM over the course of its lifetime, and is also crucial for deriving minimum ages of the galactic components from studies of the coolest white dwarf stars. We have taken deep multislit observations of M34, M35, M67, NGC6633, and NGC7063 using the Keck-II telescope. We have applied models to spectroscopically confirmed white dwarfs which have zeroed in on each star's effective temperature and surface gravity. Cooling ages for these white dwarfs have in turn been determined, and subtracting this from the cluster's age has given us each white dwarfs main sequence lifetime. Isochrones in turn have been invoked to get each white dwarfs inital (ZAMS) mass. Analyzing data from five clusters of various ages has enabled us to sample a range of ZAMS masses, populating the initial mass parameter space which allows for a more precise IFMR.\n",26,
"Star Associations, Star Clusters - Galactic & Extra-galactic Poster Session",240,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,BINOCS: The Dynamical Evolution of Binary Populations in Star Clusters,240.27,5:30 PM,6:30 PM,P. M. Frinchaboy*,P. M. Frinchaboy*; B. A. Thompson,Sessioned,"Texas Christian Univ. (TCU); Kixeye, Inc.","Abstract (2,250 Maximum Characters): Studies of the internal dynamics of stellar clusters is conducted primarily through N-Body simulations. A key input into these simulations is the fraction and mass distribution of binary stars. The internal dynamics of stellar clusters is conducted primarily through N-Body simulations. A key input into these simulations is the fraction and mass distribution of binary stars. Currently the N-body input relations are taken from ""field"" binary stars studies, but to truly understand how clustered environments evolve, binary data from within star clusters is needed, including detailed mass information. The detailed information on binaries masses, primary and secondary, in star clusters has been limited to bright high mass stars that are reachable using decade-long radial velocity surveys. We introduce a new binary detection method, Binary INformation from Open Clusters Using SEDs (BINOCS) that covers the wide mass range needed to improve cluster N-body simulation inputs and comparisons. Using newly-observed multi-wavelength photometric catalogs (0.3 - 8 microns) of the key open clusters with a range of ages, we can show that the BINOCS method determines accurate binary component masses for unresolved cluster binaries through comparison to available RV-based studies. Using this method, we present results on the dynamical evolution of binaries from 0.4 - 2.5 solar masses within nine prototypical clusters, spaning 30 Myr to 7 Gyr, and show how the binary populations evolve, and discover significant variations in the ""dynamical age"" of a clusters as a function of the stellar mass range studied.\n",27,
"Star Associations, Star Clusters - Galactic & Extra-galactic Poster Session",240,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Dolidze-35: Results for a Possible Open Cluster,240.28,5:30 PM,6:30 PM,D. J. Gulledge*,D. J. Gulledge*; R. A. Borges; E. Juelfs; J. Smith; M. E. Olive; C. P. McDonald; S. M. Williams; E. M. Cohen; J. D. Gawel; B. A. McCole; J. M. Robertson; T. Wilson; W. J. Young; S. L. Buckner; N. R. Allen; H. H. Head,Sessioned,Austin Peay State University; NSO,"Abstract (2,250 Maximum Characters): Dolidze-35 is an under-observed northern hemisphere open cluster. It is noted in WEBDA as “No data available for this cluster”.  As such, we chose this cluster as an undergraduate class project to investigate its existence. We present SDSS-ugriz magnitudes for the possible cluster and cross these with existing JHK data obtained from 2MASS.  Selection of possible members is aided by the proper motion study of Krone-Martins (2010).<br />\n",28,
"Star Associations, Star Clusters - Galactic & Extra-galactic Poster Session",240,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Neutron Capture Elements in the Open Cluster Chemical Abundance & Mapping (OCCAM) Survey,240.29,5:30 PM,6:30 PM,J. O'Connell*,J. O'Connell*; P. M. Frinchaboy; M. D. Shetrone; S. R. Majewski; G. Zasowski; F. R. Hearty,Sessioned,"Texas Christian University; University of Texas; Pennsylvania State University,; Johns Hopkins University,; University of Virginia,","Abstract (2,250 Maximum Characters): The Open Cluster Chemical Abundance & Mapping (OCCAM) survey is a systematic survey of Galactic open clusters using data primarily from the SDSS-III/APOGEE-1 survey. The high-resolution (R=22,500), near-infrared (H-band) APOGEE-1 survey allows for cluster membership probability determination and analysis of light and iron-peak elements. Neutron capture elements, however, prove to be elusive in the IR region covered by APOGEE. In an effort to fully study detailed Galactic chemical evolution, we conducted a high resolution (R~60,000) spectroscopic abundance analysis of neutron capture elements for OCCAM clusters in the optical regime to complement the APOGEE results. We present results for ten open clusters using data obtained at McDonald Observatory with the 2.1m Otto Struve telescope and Sandiford Echelle Spectrograph. We see abundance trends for Ba II, La II and Eu II that are consistent with Galactic abundance patterns for these elements. Ce II appears to be slightly enhanced in all program stars with a median value of ~0.1 dex and a spread of 0.5 dex for the entire sample.\n",29,
"Star Associations, Star Clusters - Galactic & Extra-galactic Poster Session",240,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,WIYN Open Cluster Study: Lithium in Red Giants of the Open Cluster NGC 2158,240.30,5:30 PM,6:30 PM,D. M. Krolikowski*,D. M. Krolikowski*; A. J. Steinhauer; C. P. Deliyannis; B. A. Twarog; B. J. Anthony-Twarog,Sessioned,"State University of New York, College at Geneseo; University of Indiana; University of Kansas","Abstract (2,250 Maximum Characters): We present lithium abundances of photometric candidate member giant stars of the open cluster NGC 2158 derived from WIYN Hydra spectra. We address membership criteria, as well as discuss the morphology of Li in both V magnitude and B-V color.\n",30,
Starburst Galaxies Poster Session,234,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Sources of High-Energy Emission in the Green Pea Galaxies: New Constraints from Magellan Spectra,234.01,5:30 PM,6:30 PM,D. A. Carroll*,D. A. Carroll*,Sessioned,University of Massachusetts Amherst,"Abstract (2,250 Maximum Characters): The recently discovered Green Pea galaxies display extreme starburst activity and may be some of the only possible Lyman continuum emitting galaxies at low redshift. Green Peas are characterized by their unusually high [O III]/[O II] ratios, similar to the ratios observed in high-redshift galaxies. In addition, the presence of the high-energy He II 4686 line shows that the Green Peas are highly ionized. However, the origin of the He II emission in the Green Peas, and many other starburst galaxies, is still an open question. We analyze IMACS and MagE spectra from the Magellan telescopes in order to evaluate the most probable cause of this He II emission. We also analyze other properties like dust content, temperature and density, and kinematic components. Our IMACS spectra show no Wolf-Rayet (WR) features. We set upper limits on the WR populations in our sample and conclude that Wolf-Rayet stars are not a likely candidate for the He II emission. With deeper MagE spectra we investigate energetic shocks as a possible source of the He II, and move one step closer to uncovering the origin of high-energy photons in these unique starbursts.\n",1,
Starburst Galaxies Poster Session,234,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Peas in a Pod: Environment and Ionization in Green Pea Galaxies,234.02,5:30 PM,6:30 PM,H. Kurtz*,H. Kurtz*; A. Jaskot; P. Drew; D. Pare; J. Griffin; M. Petersen,Sessioned,Smith College; University of Massachusetts,"Abstract (2,250 Maximum Characters): The Green Peas are extreme, highly ionized, starburst galaxies with strong [OIII] 5007 emission. Using the Sloan Digital Sky Survey, we present statistics on the environment of Green Peas and investigate its effects on their ionized gas properties. Although most dwarf starburst galaxies are in low-density environments, we identify a sample of Green Peas in dense environments. Emission line observations with the WIYN 0.9-meter telescope at Kitt Peak reveal that one cluster Green Pea is more highly ionized in the direction of the cluster center. Ram pressure stripping likely generates this ionization gradient. We explore the role of the environment in enhancing star formation rates and ionization, and we compare the nebular properties of Green Peas in high-density environments to those in low-density environments.<br />\n",2,
Starburst Galaxies Poster Session,234,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,The Conditions Underpinning Extreme Star Formation in ULIRGs and LIRGs as Revealed by Herschel Far-Infrared Spectroscopy,234.03,5:30 PM,6:30 PM,G. A. Vasquez*,G. A. Vasquez*; M. Ashby; H. A. Smith; M. McTier; M. Melendez,Sessioned,Florida State University; Harvard Smithsonian Center for Astrophysics; University of Maryland,"Abstract (2,250 Maximum Characters): We present a systematic survey of molecular and atomic line fluxes in all star-forming galaxies observed by the Herschel PACs instrument with detectable OH lines that also contain Herschel SPIRE FTS spectra, to determine how physical conditions vary as a function of star formation rate. Specifically, we measured selected CO, H<sub>2</sub>O, [CI], and [NII] integrated line fluxes in a sample of 145 star-forming galaxies covering a range of far-infrared luminosities ranging from 10<sup>9</sup> to above 10<sup>12</sup> L<sub>Sun </sub>. Thus, our sample includes typical, quiescent galaxies as well as Luminous Infrared Galaxies (LIRGs) and Ultra Luminous Infrared Galaxies (ULIRGs), known to be creating stars extremely rapidly. We find evidence suggesting that ULIRGs with far-infrared luminosities of L<sub>FIR</sub>> 10<sup>12</sup> L<sub>Sun</sub> require an additional heating mechanism other than UV heating from star formation, while LIRGs and less luminous star-forming galaxies may be heated primarily by their star formation. We also find that the [NII] <sup>3</sup>P<sub>1</sub> - <sup>3</sup>P<sub>0</sub> fine structure line flux and those of the CO J=5-4, CO J=7-6, and CO J=8-7 transitions are generally weaker for ULIRGs compared to LIRGs and less luminous star-forming galaxies, while we find the CO J=11-10, CO J=12-11, and CO J=13-12 transitions are generally stronger. In all these respects, ULIRGs are shown to differ significantly from other galaxies undergoing less extreme star formation. This work was supported in part by the NSF REU and DoD ASSURE programs under NSF grant no. 1262851 and by the Smithsonian Institution.\n",3,
Starburst Galaxies Poster Session,234,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Stellar Masses and Start Formation Rates of Lensed Dusty Star-Forming Galaxies from the SPT Survey,234.04,5:30 PM,6:30 PM,J. Ma*,J. Ma*; A. Gonzalez,Sessioned,University of Florida,"Abstract (2,250 Maximum Characters): To understand cosmic mass assembly in the Universe at early epochs, we primarily rely on measurements of stellar mass and star formation rate of distant galaxies. In this paper, we present stellar masses and star formation rates of six high-redshift (2.8 ≤ z ≤ 5.7) dusty, star-forming galaxies (DSFGs) that are strongly gravitationally lensed by foreground galaxies. These sources were first discovered by the South Pole Telescope (SPT) at millimeter wavelengths and all have spectroscopic redshifts and robust lens models derived from ALMA observations. We have conducted follow-up observations, obtaining multi-wavelength imaging data, using HST, Spitzer, Herschel and the Atacama Pathfinder EXperiment (APEX). We use the high-resolution HST/WFC3 images to disentangle the background source from the foreground lens in Spitzer/IRAC data. The detections and upper limits provide important constraints on the spectral energy distributions (SEDs) for these DSFGs, yielding stellar masses, IR luminosities, and star formation rates (SFRs). The SED fits of six SPT sources show that the intrinsic stellar masses span a range more than one order of magnitude with a median value ∼ 5 ×10<sup>10</sup>M⊙. The intrinsic IR luminosities range from 4×10<sup>12</sup>L⊙ to 4×10<sup>13</sup>L⊙. They all have prodigious intrinsic star formation rates of 510 to 4800 M⊙yr<sup>-1</sup>. Compared to the star-forming main sequence (MS), these six DSFGs have specific SFRs that all lie above the MS, including two galaxies that are a factor of 10 higher than the MS. Our results suggest that we are witnessing the ongoing strong starburst events which may be driven by major mergers.\n",4,
Starburst Galaxies Poster Session,234,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Exploring Extragalactic Emission: The Hα Dot Survey,234.05,5:30 PM,6:30 PM,R. Rampalli*,R. Rampalli*; J. J. Salzer,Sessioned,Wellesley College; Indiana University; Maria Mitchell Observatory,"Abstract (2,250 Maximum Characters): The Hα Dot Survey was established as a result of finding point sources of strong line emission in the data obtained for the ALFALFA Hα Survey (Van Sistine et al. 2015). In the latter survey, broad-band R and narrow-band Hα filters were used to examine target galaxies from the ALFALFA blind HI survey (Giovanelli et al. 2005, Haynes et al. 2011). In the process of reducing the ALFALFA Hα Survey data the “Hα Dots” were discovered (Kellar et al. 2008, 2012). Using specialized image analysis tools, a large population of dots has already been detected in the more than 1500 ALFALFA Hα narrow-band images taken with the 0.9m WIYN and 2.1m KPNO telescopes. Follow-up spectra of over 200 Hα Dots discovered from the 0.9m images reveal that these objects are a mix of nearby low-luminosity star-forming galaxies, compact starbursts and Seyfert 2 galaxies at intermediate redshifts, and high-redshift QSOs. Here we present the first list of Hα Dots detected using 2.1m telescope data. The 2.1m images yield a sample of Dots that average almost two magnitudes fainter than those detected with the 0.9m. The current REU project is designed to characterize the set of Hα Dots detected in the deeper 2.1m telescope images, while the broad goals of the Hα Dot Survey include the desire to understand better the chemical evolution of galaxies over cosmic time. This project was supported in part by the NSF REU grant 1358980, by the Maria Mitchell Association (Nantucket, MA), and by the Massachusetts Space Grant Consortium.\n",5,
Starburst Galaxies Poster Session,234,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Spatially Resolved Stellar Populations Of Nearby Post-Starburst Galaxies In SDSS-IV MaNGA,234.06,5:30 PM,6:30 PM,C. Liu*,C. Liu*; A. Betances; A. M. Bonilla; A. Gonzalez; C. Migliore; D. Goddard; K. Masters,Sessioned,CUNY College of Staten Island; AMNH; Northeastern University; University of Portsmouth,"Abstract (2,250 Maximum Characters): We have selected five galaxies in the Mapping Nearby Galaxies at APO (MaNGA) project of the latest generation of the Sloan Digital Sky Survey (SDSS-IV) identified as post-starburst (E+A) systems, in the transition between ""blue cloud"" and ""red sequence"" galaxies.  We measure the equivalent widths of the Balmer series, D4000 break, and metal lines across each galaxy, and produce maps of the stellar age, stellar mass, and metallicities of each galaxy using FIREFLY, a full spectral analysis code. We have found that the measured properties of the galaxies overall generally matches well with single-aperture SDSS spectra from which the original post-starburst identifications were made.  The variation in the spatial distributions of the stellar populations, in particular the A-stars, give us insight into the details of the transitional E+A quenching phase.  This work was supported by the Alfred P. Sloan Foundation via the SDSS-IV Faculty and Student Team (FAST) initiative, ARC Agreement No. SSP483 to the CUNY College of Staten Island.\n",6,
Starburst Galaxies Poster Session,234,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,The Nearby Analogues of Pure Starburst Galaxies,234.07,5:30 PM,6:30 PM,B. C. Kaiser*,B. C. Kaiser*; A. Crider; C. T. Richardson,Sessioned,Elon University,"Abstract (2,250 Maximum Characters): The relationship between active galactic nuclei (AGN) and starburst galaxies is poorly understood, partially due to galaxies exhibiting both AGN and starburst activity. We have a sample of ""pure"" starburst galaxies at z~0.1 as selected by mean field independent component analysis (MFICA). In order to better understand these starburst galaxies, we attempt to identify nearby analogues. First, we degrade a random sample of nearby galaxies to a redshift of z~0.1 by decreasing brightness and spatial resolution and increasing signal-to-noise. We then compare the magnitude, color, morphology, and concentration of each of these galaxies to our pure starburst galaxies. Finally, we determine if the nearby galaxies most similar to the starbursts when degraded are consistent with the local optimally emitting cloud model (LOC). The LOC model makes predictions for the distribution of HII regions within starburst galaxies which have been previously tested with the spectra of z~0.1 galaxies, and may be further validated by examination of these nearby analogues.\n",7,
Starburst Galaxies Poster Session,234,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Spatially resolved star-formation in nearby analogues of Lyman break galaxies,234.08,5:30 PM,6:30 PM,S. Appel*,S. Appel*; A. J. Baker; K. Hall,Sessioned,"Reed College; Rutgers, the State University of New Jersey; Johns Hopkins University","Abstract (2,250 Maximum Characters): At redshifts of z > 1.5, UV-selected galaxy populations (such as z ~ 3 Lyman break galaxies = LBGs) have the largest number of spectroscopic redshifts.  As a result, LBGs have an important role in our understanding of the history of galaxy formation.  However, LBGs are rather poorly understood at longer wavelengths, and thus our understanding of the total star formation rates and (especially) gas masses in such galaxies is incomplete.  A common strategy is to assume that the Kennicutt-Schmidt relation between star formation rate (SFR) surface density and gas mass surface density holds, even in these high redshift galaxies where testing the relation directly is not feasible.  To help assess the validity of this assumption, we examine the Kennicutt-Schmidt relation in selected nearby (z ~ 0.2) starburst galaxies in the hope of better understanding key questions regarding star formation processes in UV-selected galaxies.  Several nearby galaxies with high UV luminosities and surface brightnesses, reminiscent of those found in LBGs, were identified and used for this project.  We have obtained new, spatially resolved observations of these nearby analogues in Paschen alpha emission and carbon monoxide emission, from the ESO Very Large Telescope and the IRAM Plateau de Bure Interferometer, respectively.  We examine whether the galaxies follow the expected Kennicutt-Schmidt relation, and investigate any implied variation in gas depletion times between and within galaxies.  This research has been supported by National Science Foundation grant AST-0955810.\n",8,
Starburst Galaxies Poster Session,234,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Green Pea Galaxies Reveal Secrets of Lyα Escape,234.09,5:30 PM,6:30 PM,H. Yang*,H. Yang*; S. Malhotra; M. Gronke; J. E. Rhoads; A. Jaskot; Z. Zheng; M. Dijkstra; J. Wang,Sessioned,Arizona State University; University of Science and Technology of China; University of Oslo; Smith College; Pontificia Universidad Catolica de Chile; Chinese Academy of Sciences South America Center for Astronomy,"Abstract (2,250 Maximum Characters): In star-forming galaxies, a lot of Lyα photons were generated in HII regions surrounding massive stars. The escape of Lyα photons from galaxies is a key issue in studying high redshift galaxies and probing cosmic reionization with Lyα. To understand Lyα escape, it is valuable to study high quality Lyα profiles in Lyα emitters. However, such studies are rare due to the faintness of high-z Lyα emitters and the lack of local analogs with high Lyα equivalent width. Here we show that ”Green Pea” galaxies are the best local analogs of high-z Lyα emitters and their high quality Lyα profiles demonstrate low HI column density is the key to Lyα escape. The Lyα escape fraction shows correlations with the ratio of Lyα blue peak velocity to Hα line width, the normalized flux density at valley of Lyα profile, and a few other features of Lyα profiles. We compared the Lyα profiles with outflowing HI shell radiative transfer model and found that the best-fit HI column density is anti-correlated with the Lyα escape fraction. We also found an anti-correlation between Lyα escape fraction and galactic metallicity. Our results support that LAEs with high Lyα escape fraction have low metallicity, low HI column density, and mild HI gas outflow.\n",9,
